80,51:20.680N,002:15.125W,0F,T,BRF,Bradford-On-Avon*Z50
81,54:56.253N,002:41.737W,0F,T,BRP,Brampton*Z50
82,51:56.468N,003:21.522W,0F,T,BRE,Brecon*Z50
83,53:04.540N,003:31.763W,0F,T,BRG,Brenig*Z50
84,50:35.531N,004:09.100W,820F,AT,BRT,Brent Tor*Z100
85,52:31.660N,002:25.044W,0F,T,BRI,Bridgnorth*Z50
86,53:33.487N,000:30.226W,0F,T,BGG,Brigg*Z50
87,50:56.928N,000:35.881E,0F,T,BRK,Broad Oak*Z50
88,52:02.182N,001:51.356W,0F,T,BRO,Broadway*Z50
89,52:19.362N,002:02.779W,0F,T,BRM,Bromsgrove*Z50
90,52:11.460N,002:30.340W,0F,T,BRY,Bromyard*Z50
91,51:06.643N,002:26.996W,0F,T,BRU,Bruton*Z50
92,53:16.137N,003:21.506W,700F,AT,BGB,Bryngwn Bach*Z100
93,51:59.888N,000:59.337W,0F,T,BUC,Buckingham*Z50
94,52:09.024N,003:24.069W,0F,T,BUI,Builth Wells*Z50
95,51:10.506N,001:20.336W,0F,T,BUL,Bullington*Z50
96,52:27.832N,001:26.509E,0F,T,BUN,Bungay*Z50
97,51:20.668N,001:40.193W,0F,T,BUB,Burbage*Z50
98,52:07.254N,002:35.761W,0F,T,BUG,Burley Gate*Z50
99,53:44.624N,001:05.031W,20F,AT,BRN,Burn*Z100
100,54:44.610N,002:14.276W,0F,T,BUH,Burnhope Reservoir*Z50
101,52:45.728N,001:41.975W,0F,T,BUR,Burton*Z50
102,52:15.195N,000:43.254E,0F,T,BSE,Bury St Edmunds *Z50
103,50:58.633N,000:58.916W,0F,T,BUT,Butser Hill*Z50
104,52:44.337N,003:12.284W,0F,T,BWL,Bwlch*Z50
105,51:55.471N,001:00.693W,0F,T,CAL,Calvert Rail Junction*Z50
106,52:15.737N,000:11.808E,0F,T,CAM,Cambridge North*Z50
107,52:12.866N,000:04.683E,0F,T,CAW,Cambridge West*Z50
108,52:09.395N,000:08.118E,0F,T,CAS,Cambridge South*Z50
109,53:18.303N,001:43.746W,1350F,AT,CPH,Camphill*Z100
110,51:10.193N,001:08.008W,0F,T,CAC,Candover Church*Z50
111,52:41.341N,002:06.211W,0F,T,CAN,Cannock*Z50
112,51:15.694N,001:08.168E,0F,T,CAE,Canterbury E*Z50
113,51:15.304N,001:06.791E,0F,T,CSE,Canterbury SE*Z50
114,51:16.788N,001:04.973E,0F,T,CAT,Canterbury*Z50
115,51:18.053N,001:07.330E,0F,T,CNE,Canterbury NE*Z50
116,52:34.648N,001:31.269E,0F,T,CAY,Cantley*Z50
117,54:53.709N,002:53.210W,0F,T,CLL,Carlisle*Z50
118,54:24.488N,001:12.115W,1200F,AT,CAR,Carlton*Z100
119,51:51.099N,004:18.929W,0F,T,CMN,Carmarthen*Z50
120,51:51.263N,003:56.118W,0F,T,CCC,Carreg Cennen Castle*Z50
121,54:07.292N,000:54.305W,0F,T,CAH,Castle Howard*Z50
122,54:23.166N,001:39.285W,0F,T,CTK,Catterick*Z50
123,52:13.719N,000:06.215W,0F,T,CAX,Caxton Gibbet*Z50
124,50:48.474N,002:28.882W,0F,T,CER,Cerne Abbas*Z50
125,53:01.499N,003:33.722W,0F,T,CRG,Cerrig*Z50
126,51:12.343N,000:49.298E,0F,T,CL2,Challock Chalk Pit*Z50
127,51:12.508N,000:49.840E,600F,AT,CLK,Challock*Z100
128,50:52.413N,002:57.677W,0F,T,CHA,Chard*Z50
