182,46:28:10N,009:39:07E,0,T,Bivio Kirche, *Z20
183,46:21:33N,007:59:04E,0,T,Blatten VS K, *Z20
184,48:25:00N,009:48:00E,0,TA,Blaubeuren, *Z100
185,47:21:51N,007:48:41E,0,T,Blchnflsscht, *Z20
186,46:26:39N,008:12:12E,0,T,Blitzingen K, *Z20
187,47:09:18N,009:49:00E,0,T,Bludenz Bhf, *Z20
188,47:50:41N,008:34:07E,0,TA,Blumberg, *Z100
189,47:11:01N,009:00:26E,0,T,BnknrBchlntn, *Z20
190,47:14:49N,008:22:01E,0,T,BnznschwlBhf, *Z20
191,46:22:53N,008:54:26E,0,T,Bodio Bhf, *Z20
192,46:16:45N,013:53:29E,0,T,Bohinj, *Z20
193,46:32:18N,006:08:20E,0,T,Boisdamo, *Z20
194,46:37:46N,007:23:29E,0,T,Boltigen Bhf, *Z20
195,45:57:03N,007:12:34E,0,T,BourgStPirrK, *Z20
196,46:20:01N,013:33:26E,0,TA,Bovec, *Z100
197,46:27:30N,011:19:30E,0,TA,Bozen, *Z100
198,47:37:37N,012:59:55E,0,T,BrchtsgdnBhf, *Z20
199,46:00:44N,008:59:49E,0,T,Bre Kirche, *Z20
200,46:46:09N,009:03:43E,0,T,BreilBrigels, *Z20
201,47:21:11N,008:20:28E,0,T,Bremgarten K, *Z20
202,47:21:11N,008:20:55E,0,T,BremgartnBhf, *Z20
203,47:00:00N,011:30:00E,0,T,Brenner P, *Z20
204,47:03:22N,007:37:47E,0,T,BrgdrfBSchls, *Z20
205,46:45:19N,008:02:18E,0,T,Brienz Bhf, *Z20
206,46:19:13N,007:59:20E,0,T,Brig Bahnhof, *Z20
207,46:42:57N,011:39:27E,0,T,BrixnrtsmttK, *Z20
208,46:47:45N,011:56:26E,0,T,BrnckrtsmttK, *Z20
209,47:25:24N,008:12:49E,0,T,BrnggGSchlss, *Z20
210,47:28:55N,008:12:36E,0,T,Brugg AG Bhf, *Z20
211,47:24:27N,009:19:45E,0,T,BruggenSGBhf, *Z20
212,46:48:00N,011:56:00E,0,T,Bruneck Bhf, *Z20
213,47:00:01N,008:36:36E,0,T,Brunnen Bhf, *Z20
214,46:15:33N,010:07:39E,0,T,Brusio K, *Z20
215,47:28:00N,018:59:00E,0,TA,Budaors, *Z100
216,46:52:36N,008:39:48E,0,T,Buerglen K, *Z20
217,47:22:07N,009:04:04E,620,TL,Buetschwil, *Z50
218,46:37:08N,007:03:21E,0,T,Bulle Bhf, *Z20
219,46:58:25N,008:23:42E,444,TA,Buochs,119.62 *Z100
220,47:03:43N,007:37:21E,0,T,Burgdorf Bhf, *Z20
221,47:15:53N,008:18:09E,723,TA,Buttwil,122.15 *Z100
222,46:19:12N,007:07:41E,0,T,C Croix P, *Z20
223,46:21:17N,007:12:21E,0,T,C Pillon P, *Z20
224,45:52:41N,006:45:42E,0,T,C Voze Gare, *Z20
225,46:09:00N,008:57:13E,0,T,Cadenazzo K, *Z20
226,43:46:41N,006:44:41E,1079,TL,Caille, *Z50
227,45:47:53N,008:47:06E,0,TA,CalcintVrs, *Z100
228,46:16:18N,009:10:04E,0,T,Cama Kirche, *Z20
229,46:10:14N,009:03:44E,0,T,CarmnKVlMrbb, *Z20
230,44:01:23N,005:05:23E,119,TA,Carpentras, *Z100
231,46:10:26N,009:48:03E,0,T,CastinndvnnK, *Z20
232,46:13:36N,009:02:33E,0,T,Castione Bhf, *Z20
233,46:16:50N,011:27:12E,0,T,CavaleseAvsB, *Z20
234,46:14:38N,015:13:36E,0,TA,Celje, *Z100
235,43:51:02N,005:32:58E,329,TL,Cereste Aero, *Z50
236,46:19:06N,008:36:13E,0,T,Cevio Bhf, *Z20
237,46:22:13N,006:01:08E,0,T,CFaucillPssh, *Z20
238,46:03:29N,007:00:10E,0,T,CForclazPssh, *Z20
239,44:39:16N,006:11:02E,1079,TL,ChabottesULM, *Z50
240,45:38:00N,005:53:00E,0,TA,Chambery, *Z100
241,45:33:38N,005:58:32E,299,TA,ChambryChlls, *Z100
242,45:54:09N,006:51:44E,1036,TA,Chamonix, *Z100
243,46:12:13N,007:13:33E,0,T,Chamoson K, *Z20
244,46:28:46N,009:48:46E,0,T,Champfer K, *Z20
245,46:11:38N,005:48:35E,0,T,ChampfromirK, *Z20
246,46:37:11N,007:09:51E,0,T,Charmey K, *Z20
247,46:07:06N,007:07:36E,459,TL,Charrat, *Z50
248,47:07:41N,007:02:48E,0,T,ChasseralHtl, *Z20
249,46:51:06N,006:32:22E,0,T,ChasseronHtl, *Z20
250,46:28:34N,007:08:01E,0,T,ChateaudxBhf, *Z20
251,45:45:01N,007:36:43E,0,T,Chatillon K, *Z20
252,46:13:12N,005:52:01E,0,T,Chezry K, *Z20
253,45:49:59N,009:01:56E,0,T,Chiasso Bhf, *Z20
254,46:19:13N,009:24:23E,0,T,ChiavennaBhf, *Z20
255,47:09:24N,009:18:50E,0,T,ChsrrggBrgst, *Z20
256,46:31:35N,006:53:55E,0,T,ChtlStDnsBhf, *Z20
257,46:51:15N,009:31:49E,0,T,Chur Bahnhof, *Z20
258,46:12:33N,008:48:28E,0,T,CimttBrgsttn, *Z20
259,46:15:30N,009:02:16E,0,T,ClaroKloster, *Z20
260,47:23:48N,006:29:42E,0,T,Clerval Bhf, *Z20
261,46:06:48N,007:19:23E,0,T,CleusonStamr, *Z20
262,46:33:14N,006:15:05E,0,T,CMarchrzPssh, *Z20
263,46:39:02N,006:22:06E,0,T,Cmollendruz, *Z20
264,46:23:58N,007:06:10E,0,T,Cmosses, *Z20
