** ------------ Sweden                   10Jan00 ------------
**++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
**                                                                             +
**                            Turnpoints for Sweden                            +
**                                                                             +
**             Contributed by Goesta Arvastson and Robert Danewid              +
**            File created on Monday, 10 January, 2000 at 20:18 MST            +
**                                                                             +
**                     Datum: RT90, Magnetic variation: +2                     +
**                                                                             +
**                               Time zone: MET                                +
**          Summer offset from GMT is 2:00, and in winter it is 1:00           +
**                                                                             +
**               Latitude Range:     55:32.283N to   66:36.383N                +
**               Longitude Range:   011:51.700E to  021:29.583E                +
**                                                                             +
**                    Comment is Frequency where available                     +
**                                                                             +
**                 NOTE: There are 912 waypoints in this file.                 +
**           The CAI software can handle only 250, so edit this file           +
**       with your wordprocessor to choose the 250 that you wish to use.       +
**                It would be prudent to choose fewer than 250.                +
**               to leave room for 'MarkPoints' and a 'Thermal'.               +
**                                                                             +
**                    There is no limit for WinPilot users.                    +
**                                                                             +
**           >>>>>>>>>> UNOFFICIAL, USE AT YOUR OWN RISK <<<<<<<<<<            +
**                                                                             +
**                  Always consult the relevant publications                   +
**                  for current and correct information. This                  +
**                   service is provided free of charge with                   +
**                    no warrantees, expressed or implied.                     +
**                        User assumes all risk of use.                        +
**                                                                             +
**++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
65,60:26:20N,012:46:44E,0,T,Boviggen NSp,
66,58:11:24N,015:03:15E,0,T,Boxholm     ,Järnvägsbro
67,59:40:08N,014:01:41E,0,T,Brattfors   ,Kyrka
68,59:36:39N,013:55:38E,0,T,Brattforshed,Flp hangar
69,59:40:57N,016:51:09E,0,T,Bred        ,Kyrka
70,57:10:27N,013:44:23E,0,T,Bredaryd    ,Kyrka
71,57:49:01N,014:51:25E,0,T,Bredestad   ,Kyrka
72,65:54:24N,021:19:33E,0,T,Bredåker Bro,
73,59:00:46N,015:35:07E,0,T,Brevensbruk ,Vägkors
74,58:26:25N,014:24:56E,0,T,Brevik      ,Kyrka
75,57:07:20N,013:14:35E,0,T,Broaryd     ,Kyrka
76,58:18:30N,013:36:46E,0,T,Broddetorp  ,Kyrka
77,58:13:15N,015:41:15E,0,T,Brokind     ,Station
78,59:51:24N,017:26:20E,0,T,Brunna Kyrka,
79,62:45:51N,015:24:35E,0,T,Bräcke      ,Järnvägkors
80,62:44:40N,015:25:57E,0,T,Bräcke      ,Kyrka
81,65:47:12N,021:13:56E,0,T,BrnnbrgVgJvg,
82,56:04:48N,013:42:03E,0,T,Bronnestad  ,Kyrka
83,57:12:31N,013:17:21E,0,T,Burseryd    ,Kyrka
84,64:31:10N,020:40:08E,0,T,Burträsk    ,Kyrka
85,60:12:08N,016:28:52E,0,T,By Kyrka    ,
86,57:20:49N,013:31:39E,0,T,Bäraryd     ,Kyrka
87,58:41:34N,014:01:42E,0,T,Bäck        ,Kyrka
88,57:24:03N,015:04:48E,0,T,Bäckseda    ,Kyrka
89,59:33:45N,014:54:20E,0,T,Bälgsjön    ,Öst sp.
90,56:15:21N,013:22:26E,0,T,Bälinge     ,Vägkors W
91,58:23:10N,013:50:08E,0,T,Cement      ,Rondell
92,59:53:04N,012:18:01E,0,T,Charlotten- ,berg jvstn
93,59:42:45N,014:10:36E,0,T,Daglosen NSp,
94,60:30:31N,014:48:07E,0,T,Dala-Floda  ,Kyrka
95,60:33:11N,014:22:31E,0,AT,Dala-Järna ,Flp S ban
96,60:39:00N,012:59:51E,0,T,Dalby Kyrka ,
97,57:59:15N,016:11:19E,0,T,Dalhem      ,Kyrka
98,57:36:42N,013:30:46E,0,T,Dalstorp    ,Kyrka
99,57:54:00N,013:28:50E,0,T,Dalum Kyrka ,
100,58:08:25N,014:01:17E,0,T,Daretorp    ,Kyrka
101,65:51:22N,021:25:57E,0,T,Degerbäcken ,Vägkors
102,59:13:55N,014:26:23E,0,T,Degerfors   ,Järnvägsbro
103,55:59:48N,013:53:23E,0,T,Djurrod     ,Kyrka
104,57:46:11N,015:51:32E,0,T,Djursdala   ,Kyrka
105,60:33:07N,015:08:03E,0,T,Djurås Udde ,
106,59:09:54N,016:49:07E,0,T,Dunker      ,Kyrka
107,58:16:15N,015:24:38E,0,T,DuseborgSltt,
108,60:56:30N,015:32:28E,0,T,Dådran      ,Kapell
109,57:00:39N,015:06:35E,0,T,Dådesjö     ,Kyrka
110,66:13:58N,020:52:30E,0,T,Edefors Bro ,
111,61:23:16N,015:49:57E,0,T,Edsbyn Fl1  ,W ban
112,61:23:18N,015:49:52E,0,T,Edsbyn Fl2  ,hangar
113,63:24:39N,016:33:26E,0,T,Edsele Bro  ,
114,57:33:54N,015:13:16E,0,T,Edshult     ,Kyrka
115,59:04:36N,012:24:12E,0,T,Edslan W Sp ,
116,59:22:55N,016:26:53E,0,AT,Ekeby Flp  ,bankors
117,59:14:15N,016:45:37E,0,T,Eklångens   ,W spets
118,60:10:23N,013:30:01E,0,T,Ekshärad    ,Kyrka
119,60:09:24N,013:31:55E,0,AT,Ekshärad Flp,klubbhus
120,57:40:16N,014:56:43E,0,T,EksjöRnnsltt,banmitt
121,56:37:00N,015:36:34E,0,AT,Emmaboda Flp,hangar
122,58:48:12N,016:27:39E,0,T,Enaren Nw Sp,
123,60:48:31N,015:45:39E,0,T,Enviken     ,Vägkors
124,60:02:08N,016:48:11E,0,T,Enåker      ,Kyrka
